"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","ENsembl","GeneID","EntrezID"
"SNX11",1227.46153636657,0.602098314889621,0.937323772578155,0.642358950561469,0.52064014627181,0.840544687035123,"ENSG00000002919","SNX11","29916"
"TMEM176A",23.5138803897276,-4.85442537662471,3.19344465684749,-1.52012196804967,0.128480324337956,0.484584795261093,"ENSG00000002933","TMEM176A","55365"
"M6PR",7336.16101835726,-0.540563469219012,0.991957610728798,-0.544946138194208,0.58579056257637,0.870204598970804,"ENSG00000003056","M6PR","4074"
"KLHL13",2076.54229166262,-0.334800617415655,0.873967260603179,-0.383081417929304,0.701659396988525,0.917125261550762,"ENSG00000003096","KLHL13","90293"
"CYP26B1",75.8971884582598,-1.86671557349272,2.1369317623372,-0.873549453657356,0.38236366327916,0.760850863616816,"ENSG00000003137","CYP26B1","56603"
"ICA1",520.321543267339,2.42902299729944,1.97708822636803,1.22858604128235,0.219227051678454,0.612721705235607,"ENSG00000003147","ICA1","3382"
"DBNDD1",3217.15974787203,-0.306230984401699,1.31207402572821,-0.233394593900095,0.815455010716974,0.957306943686601,"ENSG00000003249","DBNDD1","79007"
"ALS2",1139.15856011839,0.997813593021176,0.8810437519454,1.13253580292459,0.257409240975744,0.65697769050668,"ENSG00000003393","ALS2","57679"
"CASP10",55.7282193127467,-1.07041646207697,1.16961222623836,-0.915189186692743,0.360092320361462,0.746765853874672,"ENSG00000003400","CASP10","843"
"CFLAR",3998.92101242514,-0.315245422462412,0.981689067683831,-0.321125530312966,0.748115263673684,0.934618881669089,"ENSG00000003402","CFLAR","8837"
"TFPI",1804.37575309016,3.16095484599465,1.43152973160376,2.2080958405617,0.0272375929050622,0.221569175057862,"ENSG00000003436","TFPI","7035"
"NDUFAF7",672.861601871182,0.617244734697091,0.871140484500942,0.708547869923297,0.478605095964336,0.820976171184768,"ENSG00000003509","NDUFAF7","55471"
"RBM5",5630.79056622385,0.843651942221153,0.891017780072582,0.946840748960621,0.343719933972031,0.734394138540027,"ENSG00000003756","RBM5","10181"
"MTMR7",54.9341837934338,-8.61368064366242,3.14258345024867,-2.74095526181837,0.00612608481568648,0.0968753696761796,"ENSG00000003987","MTMR7","9108"
"SLC7A2",532.909261916009,-0.582472797983401,2.0415148318078,-0.285314017271973,0.775403574747597,0.94400028584141,"ENSG00000003989","SLC7A2","6542"
"ARF5",5689.28940653092,-0.411035268168758,1.09028272281759,-0.376998790833381,0.706174503507092,0.919107747099866,"ENSG00000004059","ARF5","381"
"SARM1",2019.16293367487,0.504708382832089,0.77673924017324,0.649778402748805,0.515835371494066,0.838277419776203,"ENSG00000004139","SARM1","23098"
"POLDIP2",7438.38345426273,0.152111847380375,0.973512240608557,0.156250575016178,0.875835513153399,0.971950899170664,"ENSG00000004142","POLDIP2","26073"
"PLXND1",3825.1075474697,-0.694833742367491,1.12235086753801,-0.619087811542998,0.535858512329325,0.8477826779636,"ENSG00000004399","PLXND1","23129"
"AK2",6750.34300894566,-0.0981878705408842,0.977416740592823,-0.100456505872133,0.919981911393037,0.981824077300954,"ENSG00000004455","AK2","204"
"CD38",30.1168235590867,1.48691980228964,1.11566316389065,1.3327676761365,0.182608056388264,0.567189759647014,"ENSG00000004468","CD38","952"
"FKBP4",7826.42070247591,0.0424084681295973,0.920787140042148,0.0460567554490999,0.963265013558951,0.991647327168725,"ENSG00000004478","FKBP4","2288"
"KDM1A",6912.98455516854,1.14092160818283,0.962606741280604,1.18524165607339,0.235921914217698,0.632244886218455,"ENSG00000004487","KDM1A","23028"
"RBM6",3635.85466622808,1.19096140913185,0.84902114105647,1.40274647065902,0.160692454464642,0.537721560830509,"ENSG00000004534","RBM6","10180"
"CAMKK1",555.460742248423,-2.16988160178865,1.05286693155555,-2.06092672944222,0.0393100307971613,0.272367877108202,"ENSG00000004660","CAMKK1","84254"
"RECQL",4125.99975111145,-0.0792620833182202,1.00597769452443,-0.0787910942256937,0.937198787804027,0.985394699819355,"ENSG00000004700","RECQL","5965"
"VPS50",482.154467077276,1.90367302203265,1.03294190961616,1.84296232373809,0.0653345115896124,0.352749978970885,"ENSG00000004766","VPS50","55610"
"HSPB6",794.392595439779,-4.96394558645605,2.55530762660324,-1.94260195319598,0.0520642707405385,0.316720358622176,"ENSG00000004776","HSPB6","126393"
"ARHGAP33",2055.23407476793,0.361657118897408,1.21224368440322,0.298336979231571,0.765445983239871,0.940656103643866,"ENSG00000004777","ARHGAP33","115703"
"NDUFAB1",2775.50717696099,0.123813500251762,1.00001792551838,0.123811280870371,0.901464699700441,0.977856701777353,"ENSG00000004779","NDUFAB1","4706"
"PDK4",154.609179387074,-4.33243363411456,1.95347198023547,-2.21781201775535,0.0265676523680538,0.218745070143277,"ENSG00000004799","PDK4","5166"
"ZMYND10",299.204617302948,-1.78522254707269,1.52361507016052,-1.17170181762813,0.241316793030737,0.639296307592346,"ENSG00000004838","ZMYND10","51364"
"ABCB5",16.1771794372665,-6.54381716669605,2.39872918196339,-2.72803500115835,0.00637128472662444,0.0985727358786873,"ENSG00000004846","ABCB5","340273"
"ARX",41.0171253220904,-0.50492224244612,1.78100016613852,-0.283504882282447,0.776789839607548,0.94400028584141,"ENSG00000004848","ARX","170302"
"SLC25A13",1580.91147735767,1.24416520383649,1.21946445232265,1.02025540922229,0.307607345148939,0.706175015662627,"ENSG00000004864","SLC25A13","10165"
"ST7",1173.40603188266,0.337929902322742,0.897113995036833,0.37668557640645,0.706407283007246,0.919107747099866,"ENSG00000004866","ST7","7982"
"CDC27",4289.01237421775,0.892115204876777,0.855296997148686,1.04304727813944,0.296926396682225,0.696969163662092,"ENSG00000004897","CDC27","996"
"SLC4A1",17.0753067972332,-6.60179278089803,2.41601037759684,-2.7325183873857,0.0062852163090046,0.098304711333025,"ENSG00000004939","SLC4A1","6521"
"HCCS",1678.63296153442,-0.228587407472037,1.09998104059165,-0.207810315847886,0.835377077569628,0.962730678761495,"ENSG00000004961","HCCS","3052"
"DVL2",3050.416462181,0.395875421583058,0.941867169453113,0.420309184163325,0.674259601497042,0.906261236828408,"ENSG00000004975","DVL2","1856"
"UPF1",5778.22778520243,-0.942277100329169,0.970277992468726,-0.97114137148642,0.331477884397722,0.725028651332066,"ENSG00000005007","UPF1","5976"
"SKAP2",1018.22081133105,3.64434713069637,1.89219165600543,1.92599260182231,0.0541052976185813,0.322225255835627,"ENSG00000005020","SKAP2","8935"
"SLC25A5",13766.1448884378,0.121227610305707,1.24295669676956,0.0975316442002987,0.922304205575544,0.982011585113982,"ENSG00000005022","SLC25A5","292"
"MCUB",2130.70775889208,0.129524612710076,1.40655943724371,0.0920861282363526,0.926629609684236,0.983235281470964,"ENSG00000005059","MCUB","55013"
"HOXA11",21.9725104854589,1.50060467048013,1.13416588574536,1.3230909951889,0.185805118924222,0.571565968400788,"ENSG00000005073","HOXA11","3207"
"POLR2J",4090.37538252449,1.01924276758713,1.32076283651894,0.771707636984617,0.440287606494816,0.795465922031063,"ENSG00000005075","POLR2J","5439"
"DHX33",3000.14454071093,0.650234862832133,0.970352268687569,0.670101862812765,0.502792857483609,0.832788368232138,"ENSG00000005100","DHX33","56919"
"MEOX1",676.020803944272,-15.6729965937418,5.6654396484756,-2.76642194890541,0.00566751500334416,0.0930710266021727,"ENSG00000005102","MEOX1","4222"
"THSD7A",1169.69905655092,0.800849821472697,2.20296723853499,0.363532333783263,0.716207263766947,0.922701370129184,"ENSG00000005108","THSD7A","221981"
"LIG3",2709.5011259272,0.550063133070971,0.897885207570165,0.612620776501641,0.540127117222236,0.84924867832549,"ENSG00000005156","LIG3","3980"
"RPAP3",2595.45390210682,1.15492484874504,0.810606155243964,1.42476693678381,0.154224582700622,0.528195847772462,"ENSG00000005175","RPAP3","79657"
"REXO5",262.812970842059,0.33641673465048,1.03931555391001,0.32369065716841,0.746172244873989,0.93382311323231,"ENSG00000005189","REXO5","81691"
"CIAPIN1",3122.52436281987,0.779645786332857,0.848044697415659,0.919345157995514,0.357915064796229,0.744539212155183,"ENSG00000005194","CIAPIN1","57019"
"SPPL2B",3421.73900978969,-0.898630940749725,1.11123986391576,-0.808674139517591,0.418702606980765,0.782339219633536,"ENSG00000005206","SPPL2B","56928"
"ATOSB",1727.28375014574,-0.584267189355381,0.831635433742474,-0.702552062658151,0.482334945722236,0.821738167570255,"ENSG00000005238","ATOSB","80256"
"COPZ2",115.158132119215,-4.47954672384561,1.42834306215337,-3.1361840460738,0.00171161753382518,0.0468224179975591,"ENSG00000005243","COPZ2","51226"
"PRKAR2B",390.198683700574,0.336276365310538,1.12488864651218,0.298941914253641,0.764984365602065,0.940492937813396,"ENSG00000005249","PRKAR2B","5577"
"MSL3",1037.33872987167,0.658656320185597,1.01062838889402,0.651729485757273,0.514575697672984,0.837613258591197,"ENSG00000005302","MSL3","10943"
