NAME	ORIGINAL SIZE	AFTER RESTRICTING TO DATASET	STATUS	
GOBP_ADENYLATE_CYCLASE_ACTIVATING_DOPAMINE_RECEPTOR_SIGNALING_PATHWAY	10		Rejected!	
GOBP_ADENYLATE_CYCLASE_ACTIVATING_G_PROTEIN_COUPLED_RECEPTOR_SIGNALING_PATHWAY	171	104		
GOBP_ADENYLATE_CYCLASE_INHIBITING_DOPAMINE_RECEPTOR_SIGNALING_PATHWAY	6		Rejected!	
GOBP_ADENYLATE_CYCLASE_INHIBITING_G_PROTEIN_COUPLED_ACETYLCHOLINE_RECEPTOR_SIGNALING_PATHWAY	8		Rejected!	
GOBP_ADENYLATE_CYCLASE_INHIBITING_G_PROTEIN_COUPLED_GLUTAMATE_RECEPTOR_SIGNALING_PATHWAY	9		Rejected!	
GOBP_ADENYLATE_CYCLASE_INHIBITING_G_PROTEIN_COUPLED_RECEPTOR_SIGNALING_PATHWAY	80	55		
GOBP_ADENYLATE_CYCLASE_INHIBITING_SEROTONIN_RECEPTOR_SIGNALING_PATHWAY	7		Rejected!	
GOBP_ADENYLATE_CYCLASE_MODULATING_G_PROTEIN_COUPLED_RECEPTOR_SIGNALING_PATHWAY	262	160		
GOBP_ADHERENS_JUNCTION_ASSEMBLY	13		Rejected!	
GOBP_ADHERENS_JUNCTION_MAINTENANCE	7		Rejected!	
GOBP_ADHERENS_JUNCTION_ORGANIZATION	57	52		
GOBP_ADHESION_OF_SYMBIONT_TO_HOST	14		Rejected!	
GOBP_ADHESION_OF_SYMBIONT_TO_HOST_CELL	10		Rejected!	
GOBP_ADIPONECTIN_ACTIVATED_SIGNALING_PATHWAY	7		Rejected!	
GOBP_ADIPOSE_TISSUE_DEVELOPMENT	61	51		
GOBP_ADP_BIOSYNTHETIC_PROCESS	5		Rejected!	
GOBP_ADP_TRANSPORT	12		Rejected!	
GOBP_ADRENAL_GLAND_DEVELOPMENT	27	23		
GOBP_ADRENERGIC_RECEPTOR_SIGNALING_PATHWAY	34	23		
GOBP_ADULT_BEHAVIOR	147	117		
GOBP_ADULT_FEEDING_BEHAVIOR	10		Rejected!	
GOBP_ADULT_HEART_DEVELOPMENT	14		Rejected!	
GOBP_ADULT_LOCOMOTORY_BEHAVIOR	81	68		
GOBP_AEROBIC_RESPIRATION	196	170		
GOBP_AGGREPHAGY	18	17		
GOBP_AGGRESOME_ASSEMBLY	6		Rejected!	
GOBP_AGGRESSIVE_BEHAVIOR	8		Rejected!	
GOBP_AIM2_INFLAMMASOME_COMPLEX_ASSEMBLY	6		Rejected!	
GOBP_ALANINE_METABOLIC_PROCESS	5		Rejected!	
GOBP_ALANINE_TRANSPORT	18		Rejected!	
GOBP_ALCOHOL_BIOSYNTHETIC_PROCESS	142	112		
GOBP_ALCOHOL_CATABOLIC_PROCESS	36	25		
GOBP_ALCOHOL_METABOLIC_PROCESS	372	285		
GOBP_ALDEHYDE_BIOSYNTHETIC_PROCESS	18	15		
GOBP_ALDEHYDE_CATABOLIC_PROCESS	14		Rejected!	
GOBP_ALDITOL_BIOSYNTHETIC_PROCESS	5		Rejected!	
GOBP_ALDITOL_CATABOLIC_PROCESS	7		Rejected!	
GOBP_ALDITOL_METABOLIC_PROCESS	23	16		
