NAME	ORIGINAL SIZE	AFTER RESTRICTING TO DATASET	STATUS	
GOBP_MITOCHONDRIAL_TRANSCRIPTION	22	22		
GOBP_MITOCHONDRIAL_TRANSLATION	130	130		
GOBP_MITOCHONDRIAL_TRANSLATIONAL_ELONGATION	5		Rejected!	
GOBP_MITOCHONDRIAL_TRANSMEMBRANE_TRANSPORT	99	91		
GOBP_MITOCHONDRIAL_TRANSPORT	183	171		
GOBP_MITOCHONDRIAL_TRNA_PROCESSING	14		Rejected!	
GOBP_MITOCHONDRION_DISTRIBUTION	19	18		
GOBP_MITOCHONDRION_ENDOPLASMIC_RETICULUM_MEMBRANE_TETHERING	7		Rejected!	
GOBP_MITOCHONDRION_LOCALIZATION	52	50		
GOBP_MITOCHONDRION_ORGANIZATION	521	494		
GOBP_MITOPHAGY	71	69		
GOBP_MITOTIC_CELL_CYCLE	926		Rejected!	
GOBP_MITOTIC_CELL_CYCLE_CHECKPOINT_SIGNALING	146	141		
GOBP_MITOTIC_CELL_CYCLE_PHASE_TRANSITION	459	409		
GOBP_MITOTIC_CELL_CYCLE_PROCESS	774		Rejected!	
GOBP_MITOTIC_CHROMOSOME_CONDENSATION	20	19		
GOBP_MITOTIC_CYTOKINESIS	91	90		
GOBP_MITOTIC_CYTOKINETIC_PROCESS	32	31		
GOBP_MITOTIC_DNA_INTEGRITY_CHECKPOINT_SIGNALING	88	85		
GOBP_MITOTIC_DNA_REPLICATION	17	17		
GOBP_MITOTIC_DNA_REPLICATION_CHECKPOINT_SIGNALING	11		Rejected!	
GOBP_MITOTIC_G1_S_TRANSITION_CHECKPOINT_SIGNALING	30	28		
GOBP_MITOTIC_G2_DNA_DAMAGE_CHECKPOINT_SIGNALING	37	37		
GOBP_MITOTIC_G2_M_TRANSITION_CHECKPOINT	55	54		
GOBP_MITOTIC_INTRA_S_DNA_DAMAGE_CHECKPOINT_SIGNALING	17	16		
GOBP_MITOTIC_METAPHASE_CHROMOSOME_ALIGNMENT	63	62		
GOBP_MITOTIC_NUCLEAR_DIVISION	283	266		
GOBP_MITOTIC_NUCLEAR_MEMBRANE_DISASSEMBLY	8		Rejected!	
GOBP_MITOTIC_NUCLEAR_MEMBRANE_ORGANIZATION	10		Rejected!	
GOBP_MITOTIC_RECOMBINATION	25	24		
GOBP_MITOTIC_SISTER_CHROMATID_COHESION	31	31		
GOBP_MITOTIC_SISTER_CHROMATID_COHESION_CENTROMERIC	5		Rejected!	
GOBP_MITOTIC_SISTER_CHROMATID_SEGREGATION	194	187		
GOBP_MITOTIC_SISTER_CHROMATID_SEPARATION	63	60		
GOBP_MITOTIC_SPINDLE_ASSEMBLY	76	74		
GOBP_MITOTIC_SPINDLE_ELONGATION	12		Rejected!	
GOBP_MITOTIC_SPINDLE_ORGANIZATION	134	132		
GOBP_MITRAL_VALVE_DEVELOPMENT	14		Rejected!	
GOBP_MODIFICATION_DEPENDENT_MACROMOLECULE_CATABOLIC_PROCESS	624		Rejected!	
GOBP_MODIFICATION_OF_POSTSYNAPTIC_ACTIN_CYTOSKELETON	11		Rejected!	
GOBP_MODIFICATION_OF_POSTSYNAPTIC_STRUCTURE	22	21		
GOBP_MODIFICATION_OF_SYNAPTIC_STRUCTURE	28	27		
GOBP_MODIFIED_AMINO_ACID_TRANSPORT	42	33		
GOBP_MODULATION_BY_HOST_OF_SYMBIONT_PROCESS	87	69		
GOBP_MODULATION_BY_HOST_OF_VIRAL_GENOME_REPLICATION	27	23		
GOBP_MODULATION_BY_HOST_OF_VIRAL_PROCESS	50	43		
GOBP_MODULATION_BY_HOST_OF_VIRAL_RNA_GENOME_REPLICATION	5		Rejected!	
GOBP_MODULATION_BY_SYMBIONT_OF_ENTRY_INTO_HOST	56	46		
GOBP_MODULATION_BY_VIRUS_OF_HOST_PROCESS	6		Rejected!	
GOBP_MODULATION_OF_EXCITATORY_POSTSYNAPTIC_POTENTIAL	49	42		
GOBP_MODULATION_OF_INHIBITORY_POSTSYNAPTIC_POTENTIAL	7		Rejected!	
GOBP_MODULATION_OF_MICROTUBULE_CYTOSKELETON_INVOLVED_IN_CEREBRAL_CORTEX_RADIAL_GLIA_GUIDED_MIGRATION	5		Rejected!	
GOBP_MODULATION_OF_PROCESS_OF_ANOTHER_ORGANISM	17		Rejected!	
GOBP_MOLTING_CYCLE	119	95		
GOBP_MOLTING_CYCLE_PROCESS	98	83		
GOBP_MONOACYLGLYCEROL_BIOSYNTHETIC_PROCESS	9		Rejected!	
GOBP_MONOACYLGLYCEROL_CATABOLIC_PROCESS	7		Rejected!	
GOBP_MONOACYLGLYCEROL_METABOLIC_PROCESS	16		Rejected!	
GOBP_MONOAMINE_TRANSPORT	77	48		
GOBP_MONOATOMIC_ANION_HOMEOSTASIS	21		Rejected!	
GOBP_MONOATOMIC_ANION_TRANSPORT	174	117		
GOBP_MONOATOMIC_CATION_TRANSMEMBRANE_TRANSPORT	861		Rejected!	
GOBP_MONOATOMIC_CATION_TRANSPORT	1049		Rejected!	
GOBP_MONOATOMIC_ION_HOMEOSTASIS	618	452		
GOBP_MONOATOMIC_ION_TRANSMEMBRANE_TRANSPORT	1031		Rejected!	
GOBP_MONOATOMIC_ION_TRANSPORT	1256		Rejected!	
GOBP_MONOCARBOXYLIC_ACID_BIOSYNTHETIC_PROCESS	225	157		
GOBP_MONOCARBOXYLIC_ACID_CATABOLIC_PROCESS	132	108		
GOBP_MONOCARBOXYLIC_ACID_METABOLIC_PROCESS	639	466		
GOBP_MONOCARBOXYLIC_ACID_TRANSPORT	184	113		
GOBP_MONOCYTE_ACTIVATION	12		Rejected!	
GOBP_MONOCYTE_AGGREGATION	5		Rejected!	
GOBP_MONOCYTE_CHEMOTACTIC_PROTEIN_1_PRODUCTION	21	17		
GOBP_MONOCYTE_CHEMOTAXIS	52	26		
GOBP_MONOCYTE_DIFFERENTIATION	35	29		
GOBP_MONOCYTE_EXTRAVASATION	11		Rejected!	
GOBP_MONONUCLEAR_CELL_DIFFERENTIATION	528	376		
GOBP_MONONUCLEAR_CELL_MIGRATION	226	145		
GOBP_MONOSACCHARIDE_BIOSYNTHETIC_PROCESS	96	78		
GOBP_MONOSACCHARIDE_CATABOLIC_PROCESS	50	44		
GOBP_MONOSACCHARIDE_METABOLIC_PROCESS	254	219		
GOBP_MONOSACCHARIDE_TRANSMEMBRANE_TRANSPORT	123	90		
GOBP_MONOTERPENOID_METABOLIC_PROCESS	6		Rejected!	
GOBP_MONOUBIQUITINATED_PROTEIN_DEUBIQUITINATION	9		Rejected!	
GOBP_MORPHOGENESIS_OF_AN_ENDOTHELIUM	17	16		
GOBP_MORPHOGENESIS_OF_AN_EPITHELIAL_BUD	15		Rejected!	
GOBP_MORPHOGENESIS_OF_AN_EPITHELIAL_FOLD	24	21		
GOBP_MORPHOGENESIS_OF_AN_EPITHELIAL_SHEET	66	60		
GOBP_MORPHOGENESIS_OF_AN_EPITHELIUM	504	433		
GOBP_MORPHOGENESIS_OF_A_BRANCHING_STRUCTURE	207	173		
GOBP_MORPHOGENESIS_OF_A_POLARIZED_EPITHELIUM	63	58		
GOBP_MORPHOGENESIS_OF_EMBRYONIC_EPITHELIUM	150	139		
GOBP_MOTILE_CILIUM_ASSEMBLY	73	54		
GOBP_MOTOR_BEHAVIOR	23	22		
GOBP_MOTOR_LEARNING	8		Rejected!	
GOBP_MOTOR_NEURON_APOPTOTIC_PROCESS	21	20		
GOBP_MOTOR_NEURON_AXON_GUIDANCE	26	23		
GOBP_MOTOR_NEURON_MIGRATION	13		Rejected!	
GOBP_MRNA_3_END_PROCESSING	39	39		
GOBP_MRNA_3_END_PROCESSING_BY_STEM_LOOP_BINDING_AND_CLEAVAGE	6		Rejected!	
GOBP_MRNA_3_SPLICE_SITE_RECOGNITION	6		Rejected!	
GOBP_MRNA_5_SPLICE_SITE_RECOGNITION	23	17		
GOBP_MRNA_CIS_SPLICING_VIA_SPLICEOSOME	46	38		
GOBP_MRNA_EXPORT_FROM_NUCLEUS	72	65		
GOBP_MRNA_METABOLIC_PROCESS	864		Rejected!	
GOBP_MRNA_METHYLGUANOSINE_CAP_DECAPPING	16	16		
GOBP_MRNA_MODIFICATION	20	17		
GOBP_MRNA_PROCESSING	520	468		
GOBP_MRNA_PSEUDOURIDINE_SYNTHESIS	9		Rejected!	
GOBP_MRNA_SPLICE_SITE_RECOGNITION	48	41		
GOBP_MRNA_TRANSCRIPTION	50	47		
GOBP_MRNA_TRANSPORT	131	121		
GOBP_MUCOCILIARY_CLEARANCE	8		Rejected!	
GOBP_MUCOPOLYSACCHARIDE_METABOLIC_PROCESS	91	77		
GOBP_MUCOSA_ASSOCIATED_LYMPHOID_TISSUE_DEVELOPMENT	8		Rejected!	
GOBP_MUCUS_SECRETION	19		Rejected!	
GOBP_MULTICELLULAR_ORGANISMAL_LEVEL_CHEMICAL_HOMEOSTASIS	76	54		
GOBP_MULTICELLULAR_ORGANISMAL_LEVEL_HOMEOSTASIS	814		Rejected!	
GOBP_MULTICELLULAR_ORGANISMAL_LEVEL_IRON_ION_HOMEOSTASIS	25	19		
GOBP_MULTICELLULAR_ORGANISMAL_LEVEL_WATER_HOMEOSTASIS	33	21		
GOBP_MULTICELLULAR_ORGANISMAL_MOVEMENT	62	46		
GOBP_MULTICELLULAR_ORGANISMAL_REPRODUCTIVE_PROCESS	980		Rejected!	
GOBP_MULTICELLULAR_ORGANISMAL_RESPONSE_TO_STRESS	97	74		
GOBP_MULTICELLULAR_ORGANISM_GROWTH	149	130		
GOBP_MULTINUCLEAR_OSTEOCLAST_DIFFERENTIATION	8		Rejected!	
GOBP_MULTIVESICULAR_BODY_ORGANIZATION	32	32		
GOBP_MULTIVESICULAR_BODY_SORTING_PATHWAY	49	48		
GOBP_MULTI_CILIATED_EPITHELIAL_CELL_DIFFERENTIATION	9		Rejected!	
GOBP_MULTI_MULTICELLULAR_ORGANISM_PROCESS	216	151		
GOBP_MULTI_PASS_TRANSMEMBRANE_PROTEIN_INSERTION_INTO_ER_MEMBRANE	9		Rejected!	
GOBP_MUSCLE_ADAPTATION	121	84		
GOBP_MUSCLE_ATROPHY	11		Rejected!	
GOBP_MUSCLE_CELL_APOPTOTIC_PROCESS	99	68		
GOBP_MUSCLE_CELL_CELLULAR_HOMEOSTASIS	26	24		
GOBP_MUSCLE_CELL_DEVELOPMENT	204	153		
GOBP_MUSCLE_CELL_DIFFERENTIATION	431	336		
GOBP_MUSCLE_CELL_FATE_COMMITMENT	17		Rejected!	
GOBP_MUSCLE_CELL_MIGRATION	112	83		
GOBP_MUSCLE_CELL_PROLIFERATION	250	180		
GOBP_MUSCLE_CONTRACTION	357	251		
GOBP_MUSCLE_HYPERTROPHY	107	73		
GOBP_MUSCLE_HYPERTROPHY_IN_RESPONSE_TO_STRESS	32	19		
GOBP_MUSCLE_ORGAN_DEVELOPMENT	361	291		
GOBP_MUSCLE_ORGAN_MORPHOGENESIS	82	58		
GOBP_MUSCLE_STRUCTURE_DEVELOPMENT	715		Rejected!	
GOBP_MUSCLE_SYSTEM_PROCESS	463	327		
GOBP_MUSCLE_TISSUE_DEVELOPMENT	444	349		
GOBP_MUSCULAR_SEPTUM_MORPHOGENESIS	5		Rejected!	
GOBP_MYCOTOXIN_METABOLIC_PROCESS	7		Rejected!	
GOBP_MYD88_DEPENDENT_TOLL_LIKE_RECEPTOR_SIGNALING_PATHWAY	20	16		
GOBP_MYD88_INDEPENDENT_TOLL_LIKE_RECEPTOR_SIGNALING_PATHWAY	16		Rejected!	
GOBP_MYELIN_ASSEMBLY	24	22		
GOBP_MYELIN_MAINTENANCE	18	16		
GOBP_MYELOID_CELL_ACTIVATION_INVOLVED_IN_IMMUNE_RESPONSE	99	60		
GOBP_MYELOID_CELL_APOPTOTIC_PROCESS	39	30		
GOBP_MYELOID_CELL_DEVELOPMENT	90	66		
GOBP_MYELOID_CELL_DIFFERENTIATION	444	352		
GOBP_MYELOID_CELL_HOMEOSTASIS	179	148		
GOBP_MYELOID_DENDRITIC_CELL_ACTIVATION	29	16		
GOBP_MYELOID_DENDRITIC_CELL_CYTOKINE_PRODUCTION	7		Rejected!	
GOBP_MYELOID_DENDRITIC_CELL_DIFFERENTIATION	20		Rejected!	
GOBP_MYELOID_LEUKOCYTE_ACTIVATION	246	161		
GOBP_MYELOID_LEUKOCYTE_CYTOKINE_PRODUCTION	50	42		
GOBP_MYELOID_LEUKOCYTE_DIFFERENTIATION	240	181		
GOBP_MYELOID_LEUKOCYTE_MEDIATED_IMMUNITY	115	69		
GOBP_MYELOID_LEUKOCYTE_MIGRATION	239	149		
GOBP_MYELOID_PROGENITOR_CELL_DIFFERENTIATION	9		Rejected!	
GOBP_MYOBLAST_DIFFERENTIATION	113	95		
GOBP_MYOBLAST_FATE_COMMITMENT	6		Rejected!	
GOBP_MYOBLAST_FUSION	48	35		
GOBP_MYOBLAST_FUSION_INVOLVED_IN_SKELETAL_MUSCLE_REGENERATION	5		Rejected!	
GOBP_MYOBLAST_MIGRATION	13		Rejected!	
GOBP_MYOBLAST_PROLIFERATION	34	22		
GOBP_MYOFIBROBLAST_DIFFERENTIATION	15		Rejected!	
GOBP_MYOSIN_FILAMENT_ORGANIZATION	6		Rejected!	
GOBP_MYOTUBE_CELL_DEVELOPMENT	43	32		
GOBP_MYOTUBE_DIFFERENTIATION	135	104		
GOBP_MYOTUBE_DIFFERENTIATION_INVOLVED_IN_SKELETAL_MUSCLE_REGENERATION	9		Rejected!	
GOBP_NADH_DEHYDROGENASE_COMPLEX_ASSEMBLY	60	55		
GOBP_NADH_METABOLIC_PROCESS	33	30		
GOBP_NADH_OXIDATION	6		Rejected!	
GOBP_NADPH_OXIDATION	6		Rejected!	
GOBP_NADPH_REGENERATION	23	21		
GOBP_NADP_METABOLIC_PROCESS	45	40		
GOBP_NAD_BIOSYNTHESIS_VIA_NICOTINAMIDE_RIBOSIDE_SALVAGE_PATHWAY	10		Rejected!	
GOBP_NAD_CATABOLIC_PROCESS	21	19		
GOBP_NAD_METABOLIC_PROCESS	64	53		
GOBP_NAD_TRANSMEMBRANE_TRANSPORT	5		Rejected!	
GOBP_NAD_TRANSPORT	6		Rejected!	
GOBP_NAIL_DEVELOPMENT	11		Rejected!	
GOBP_NATURAL_KILLER_CELL_ACTIVATION	98	54		
GOBP_NATURAL_KILLER_CELL_ACTIVATION_INVOLVED_IN_IMMUNE_RESPONSE	35		Rejected!	
GOBP_NATURAL_KILLER_CELL_CHEMOTAXIS	10		Rejected!	
GOBP_NATURAL_KILLER_CELL_CYTOKINE_PRODUCTION	9		Rejected!	
GOBP_NATURAL_KILLER_CELL_DEGRANULATION	12		Rejected!	
GOBP_NATURAL_KILLER_CELL_DIFFERENTIATION	24	18		
GOBP_NATURAL_KILLER_CELL_MEDIATED_IMMUNE_RESPONSE_TO_TUMOR_CELL	11		Rejected!	
GOBP_NATURAL_KILLER_CELL_MEDIATED_IMMUNITY	84	53		
GOBP_NATURAL_KILLER_CELL_PROLIFERATION	15		Rejected!	
GOBP_NECROPTOTIC_PROCESS	49	36		
GOBP_NECROPTOTIC_SIGNALING_PATHWAY	8		Rejected!	
GOBP_NEGATIVE_ADAPTATION_OF_SIGNALING_PATHWAY	20		Rejected!	
GOBP_NEGATIVE_CHEMOTAXIS	47	43		
GOBP_NEGATIVE_REGULATION_BY_HOST_OF_VIRAL_GENOME_REPLICATION	12		Rejected!	
GOBP_NEGATIVE_REGULATION_BY_HOST_OF_VIRAL_PROCESS	17		Rejected!	
GOBP_NEGATIVE_REGULATION_BY_HOST_OF_VIRAL_TRANSCRIPTION	14		Rejected!	
GOBP_NEGATIVE_REGULATION_OF_ACTIN_FILAMENT_BUNDLE_ASSEMBLY	36	28		
GOBP_NEGATIVE_REGULATION_OF_ACTIN_FILAMENT_DEPOLYMERIZATION	44	40		
GOBP_NEGATIVE_REGULATION_OF_ACTIN_FILAMENT_POLYMERIZATION	65	59		
GOBP_NEGATIVE_REGULATION_OF_ACTIN_NUCLEATION	9		Rejected!	
GOBP_NEGATIVE_REGULATION_OF_ACTION_POTENTIAL	6		Rejected!	
GOBP_NEGATIVE_REGULATION_OF_ACTIVATED_T_CELL_PROLIFERATION	15		Rejected!	
GOBP_NEGATIVE_REGULATION_OF_ACTIVIN_RECEPTOR_SIGNALING_PATHWAY	17	15		
GOBP_NEGATIVE_REGULATION_OF_ACUTE_INFLAMMATORY_RESPONSE	12		Rejected!	
GOBP_NEGATIVE_REGULATION_OF_ACUTE_INFLAMMATORY_RESPONSE_TO_ANTIGENIC_STIMULUS	6		Rejected!	
GOBP_NEGATIVE_REGULATION_OF_ADAPTIVE_IMMUNE_RESPONSE	64	39		
GOBP_NEGATIVE_REGULATION_OF_ADENYLATE_CYCLASE_ACTIVATING_ADRENERGIC_RECEPTOR_SIGNALING_PATHWAY	5		Rejected!	
GOBP_NEGATIVE_REGULATION_OF_ADENYLATE_CYCLASE_ACTIVATING_G_PROTEIN_COUPLED_RECEPTOR_SIGNALING_PATHWAY	14		Rejected!	
GOBP_NEGATIVE_REGULATION_OF_ADIPOSE_TISSUE_DEVELOPMENT	5		Rejected!	
GOBP_NEGATIVE_REGULATION_OF_ALCOHOL_BIOSYNTHETIC_PROCESS	19		Rejected!	
GOBP_NEGATIVE_REGULATION_OF_ALPHA_BETA_T_CELL_ACTIVATION	45	32		
GOBP_NEGATIVE_REGULATION_OF_ALPHA_BETA_T_CELL_DIFFERENTIATION	26	21		
GOBP_NEGATIVE_REGULATION_OF_ALPHA_BETA_T_CELL_PROLIFERATION	16		Rejected!	
GOBP_NEGATIVE_REGULATION_OF_AMIDE_METABOLIC_PROCESS	34	23		
GOBP_NEGATIVE_REGULATION_OF_AMINE_METABOLIC_PROCESS	6		Rejected!	
GOBP_NEGATIVE_REGULATION_OF_AMINE_TRANSPORT	27	18		
GOBP_NEGATIVE_REGULATION_OF_AMINO_ACID_TRANSPORT	15		Rejected!	
GOBP_NEGATIVE_REGULATION_OF_AMYLOID_BETA_CLEARANCE	11		Rejected!	
GOBP_NEGATIVE_REGULATION_OF_AMYLOID_FIBRIL_FORMATION	13		Rejected!	
GOBP_NEGATIVE_REGULATION_OF_AMYLOID_PRECURSOR_PROTEIN_BIOSYNTHETIC_PROCESS	20		Rejected!	
GOBP_NEGATIVE_REGULATION_OF_AMYLOID_PRECURSOR_PROTEIN_CATABOLIC_PROCESS	31	19		
GOBP_NEGATIVE_REGULATION_OF_ANDROGEN_RECEPTOR_SIGNALING_PATHWAY	15		Rejected!	
GOBP_NEGATIVE_REGULATION_OF_ANOIKIS	18	16		
GOBP_NEGATIVE_REGULATION_OF_ANTIGEN_PROCESSING_AND_PRESENTATION	9		Rejected!	
GOBP_NEGATIVE_REGULATION_OF_ANTIGEN_RECEPTOR_MEDIATED_SIGNALING_PATHWAY	34	23		
GOBP_NEGATIVE_REGULATION_OF_APOPTOTIC_PROCESS_INVOLVED_IN_DEVELOPMENT	6		Rejected!	
GOBP_NEGATIVE_REGULATION_OF_APOPTOTIC_SIGNALING_PATHWAY	244	211		
GOBP_NEGATIVE_REGULATION_OF_ARP2_3_COMPLEX_MEDIATED_ACTIN_NUCLEATION	7		Rejected!	
GOBP_NEGATIVE_REGULATION_OF_ASTROCYTE_ACTIVATION	5		Rejected!	
GOBP_NEGATIVE_REGULATION_OF_ASTROCYTE_DIFFERENTIATION	16		Rejected!	
GOBP_NEGATIVE_REGULATION_OF_ATP_DEPENDENT_ACTIVITY	17		Rejected!	
GOBP_NEGATIVE_REGULATION_OF_AUTOPHAGOSOME_ASSEMBLY	13		Rejected!	
GOBP_NEGATIVE_REGULATION_OF_AUTOPHAGOSOME_MATURATION	5		Rejected!	
GOBP_NEGATIVE_REGULATION_OF_AUTOPHAGY	94	83		
GOBP_NEGATIVE_REGULATION_OF_AUTOPHAGY_OF_MITOCHONDRION	7		Rejected!	
GOBP_NEGATIVE_REGULATION_OF_AXONOGENESIS	51	48		
GOBP_NEGATIVE_REGULATION_OF_AXON_EXTENSION	31	29		
GOBP_NEGATIVE_REGULATION_OF_AXON_EXTENSION_INVOLVED_IN_AXON_GUIDANCE	10		Rejected!	
GOBP_NEGATIVE_REGULATION_OF_BEHAVIOR	13		Rejected!	
GOBP_NEGATIVE_REGULATION_OF_BICELLULAR_TIGHT_JUNCTION_ASSEMBLY	6		Rejected!	
GOBP_NEGATIVE_REGULATION_OF_BINDING	109	97		
GOBP_NEGATIVE_REGULATION_OF_BIOMINERAL_TISSUE_DEVELOPMENT	29	21		
GOBP_NEGATIVE_REGULATION_OF_BLOOD_CIRCULATION	25	18		
GOBP_NEGATIVE_REGULATION_OF_BLOOD_PRESSURE	50	34		
GOBP_NEGATIVE_REGULATION_OF_BLOOD_VESSEL_ENDOTHELIAL_CELL_MIGRATION	82	28		
GOBP_NEGATIVE_REGULATION_OF_BLOOD_VESSEL_ENDOTHELIAL_CELL_PROLIFERATION_INVOLVED_IN_SPROUTING_ANGIOGENESIS	26		Rejected!	
GOBP_NEGATIVE_REGULATION_OF_BMP_SIGNALING_PATHWAY	73	51		
GOBP_NEGATIVE_REGULATION_OF_BONE_MINERALIZATION	20		Rejected!	
GOBP_NEGATIVE_REGULATION_OF_BONE_REMODELING	18		Rejected!	
GOBP_NEGATIVE_REGULATION_OF_BROWN_FAT_CELL_DIFFERENTIATION	5		Rejected!	
GOBP_NEGATIVE_REGULATION_OF_B_CELL_ACTIVATION	32	20		
GOBP_NEGATIVE_REGULATION_OF_B_CELL_APOPTOTIC_PROCESS	15		Rejected!	
GOBP_NEGATIVE_REGULATION_OF_B_CELL_DIFFERENTIATION	6		Rejected!	
GOBP_NEGATIVE_REGULATION_OF_B_CELL_MEDIATED_IMMUNITY	15		Rejected!	
GOBP_NEGATIVE_REGULATION_OF_B_CELL_PROLIFERATION	17		Rejected!	
GOBP_NEGATIVE_REGULATION_OF_B_CELL_RECEPTOR_SIGNALING_PATHWAY	8		Rejected!	
GOBP_NEGATIVE_REGULATION_OF_CALCINEURIN_MEDIATED_SIGNALING	15		Rejected!	
GOBP_NEGATIVE_REGULATION_OF_CALCIUM_ION_DEPENDENT_EXOCYTOSIS	8		Rejected!	
GOBP_NEGATIVE_REGULATION_OF_CALCIUM_ION_EXPORT_ACROSS_PLASMA_MEMBRANE	5		Rejected!	
GOBP_NEGATIVE_REGULATION_OF_CALCIUM_ION_IMPORT	18		Rejected!	
GOBP_NEGATIVE_REGULATION_OF_CALCIUM_ION_IMPORT_ACROSS_PLASMA_MEMBRANE	8		Rejected!	
GOBP_NEGATIVE_REGULATION_OF_CALCIUM_ION_TRANSMEMBRANE_TRANSPORT	52	38		
GOBP_NEGATIVE_REGULATION_OF_CALCIUM_ION_TRANSMEMBRANE_TRANSPORTER_ACTIVITY	30	21		
GOBP_NEGATIVE_REGULATION_OF_CALCIUM_ION_TRANSMEMBRANE_TRANSPORT_VIA_HIGH_VOLTAGE_GATED_CALCIUM_CHANNEL	5		Rejected!	
GOBP_NEGATIVE_REGULATION_OF_CALCIUM_ION_TRANSPORT	70	47		
GOBP_NEGATIVE_REGULATION_OF_CALCIUM_MEDIATED_SIGNALING	22	16		
GOBP_NEGATIVE_REGULATION_OF_CAMP_DEPENDENT_PROTEIN_KINASE_ACTIVITY	8		Rejected!	
GOBP_NEGATIVE_REGULATION_OF_CAMP_MEDIATED_SIGNALING	9		Rejected!	
GOBP_NEGATIVE_REGULATION_OF_CANONICAL_NF_KAPPAB_SIGNAL_TRANSDUCTION	66	47		
GOBP_NEGATIVE_REGULATION_OF_CANONICAL_WNT_SIGNALING_PATHWAY	145	123		
GOBP_NEGATIVE_REGULATION_OF_CARBOHYDRATE_METABOLIC_PROCESS	57	47		
GOBP_NEGATIVE_REGULATION_OF_CARDIAC_MUSCLE_ADAPTATION	8		Rejected!	
GOBP_NEGATIVE_REGULATION_OF_CARDIAC_MUSCLE_CELL_DIFFERENTIATION	11		Rejected!	
GOBP_NEGATIVE_REGULATION_OF_CARDIAC_MUSCLE_CELL_PROLIFERATION	16		Rejected!	
GOBP_NEGATIVE_REGULATION_OF_CARDIAC_MUSCLE_CONTRACTION	7		Rejected!	
GOBP_NEGATIVE_REGULATION_OF_CARDIAC_MUSCLE_TISSUE_GROWTH	28	19		
GOBP_NEGATIVE_REGULATION_OF_CARDIOCYTE_DIFFERENTIATION	14		Rejected!	
GOBP_NEGATIVE_REGULATION_OF_CARTILAGE_DEVELOPMENT	31	27		
GOBP_NEGATIVE_REGULATION_OF_CATABOLIC_PROCESS	359	314		
GOBP_NEGATIVE_REGULATION_OF_CATALYTIC_ACTIVITY	439	332		
GOBP_NEGATIVE_REGULATION_OF_CATECHOLAMINE_SECRETION	13		Rejected!	
GOBP_NEGATIVE_REGULATION_OF_CATION_CHANNEL_ACTIVITY	47	24		
GOBP_NEGATIVE_REGULATION_OF_CD4_POSITIVE_ALPHA_BETA_T_CELL_ACTIVATION	33	25		
GOBP_NEGATIVE_REGULATION_OF_CD4_POSITIVE_ALPHA_BETA_T_CELL_DIFFERENTIATION	21	17		
GOBP_NEGATIVE_REGULATION_OF_CD4_POSITIVE_ALPHA_BETA_T_CELL_PROLIFERATION	12		Rejected!	
GOBP_NEGATIVE_REGULATION_OF_CD8_POSITIVE_ALPHA_BETA_T_CELL_ACTIVATION	8		Rejected!	
GOBP_NEGATIVE_REGULATION_OF_CELLULAR_CATABOLIC_PROCESS	119	103		
GOBP_NEGATIVE_REGULATION_OF_CELLULAR_COMPONENT_ORGANIZATION	732		Rejected!	
GOBP_NEGATIVE_REGULATION_OF_CELLULAR_EXTRAVASATION	9		Rejected!	
GOBP_NEGATIVE_REGULATION_OF_CELLULAR_RESPIRATION	9		Rejected!	
GOBP_NEGATIVE_REGULATION_OF_CELLULAR_RESPONSE_TO_GROWTH_FACTOR_STIMULUS	139	88		
GOBP_NEGATIVE_REGULATION_OF_CELLULAR_RESPONSE_TO_HYPOXIA	10		Rejected!	
GOBP_NEGATIVE_REGULATION_OF_CELLULAR_RESPONSE_TO_INSULIN_STIMULUS	46	38		
GOBP_NEGATIVE_REGULATION_OF_CELLULAR_RESPONSE_TO_OXIDATIVE_STRESS	5		Rejected!	
GOBP_NEGATIVE_REGULATION_OF_CELLULAR_RESPONSE_TO_TRANSFORMING_GROWTH_FACTOR_BETA_STIMULUS	14		Rejected!	
GOBP_NEGATIVE_REGULATION_OF_CELLULAR_RESPONSE_TO_VASCULAR_ENDOTHELIAL_GROWTH_FACTOR_STIMULUS	19		Rejected!	
GOBP_NEGATIVE_REGULATION_OF_CELLULAR_SENESCENCE	26	23		
GOBP_NEGATIVE_REGULATION_OF_CELL_ACTIVATION	217	144		
GOBP_NEGATIVE_REGULATION_OF_CELL_ADHESION	312	225		
GOBP_NEGATIVE_REGULATION_OF_CELL_ADHESION_MEDIATED_BY_INTEGRIN	12		Rejected!	
GOBP_NEGATIVE_REGULATION_OF_CELL_ADHESION_MOLECULE_PRODUCTION	14		Rejected!	
GOBP_NEGATIVE_REGULATION_OF_CELL_CELL_ADHESION	205	140		
GOBP_NEGATIVE_REGULATION_OF_CELL_CELL_ADHESION_MEDIATED_BY_CADHERIN	10		Rejected!	
GOBP_NEGATIVE_REGULATION_OF_CELL_CHEMOTAXIS_TO_FIBROBLAST_GROWTH_FACTOR	5		Rejected!	
GOBP_NEGATIVE_REGULATION_OF_CELL_CYCLE	408	347		
GOBP_NEGATIVE_REGULATION_OF_CELL_CYCLE_G1_S_PHASE_TRANSITION	94	71		
GOBP_NEGATIVE_REGULATION_OF_CELL_CYCLE_G2_M_PHASE_TRANSITION	72	67		
GOBP_NEGATIVE_REGULATION_OF_CELL_CYCLE_PROCESS	318	277		
GOBP_NEGATIVE_REGULATION_OF_CELL_DEVELOPMENT	271	215		
